occurrence	line	citation_key	claim_context	verification_source	status
1	79	glimm2014hermit	Reasoners such as HermiT, Konclude, ELK, and Sequoia embody substantial calculus and systems engineering \cite{glimm2014hermit,steigmiller2014konclude,kazakov2014elk,bate2016sequoia}.	https://doi.org/10.1007/s10817-014-9305-1	verified
1	79	steigmiller2014konclude	Reasoners such as HermiT, Konclude, ELK, and Sequoia embody substantial calculus and systems engineering \cite{glimm2014hermit,steigmiller2014konclude,kazakov2014elk,bate2016sequoia}.	https://doi.org/10.1016/j.websem.2014.06.003	corrected
1	79	kazakov2014elk	Reasoners such as HermiT, Konclude, ELK, and Sequoia embody substantial calculus and systems engineering \cite{glimm2014hermit,steigmiller2014konclude,kazakov2014elk,bate2016sequoia}.	https://doi.org/10.1007/s10817-013-9296-3	verified
1	79	bate2016sequoia	Reasoners such as HermiT, Konclude, ELK, and Sequoia embody substantial calculus and systems engineering \cite{glimm2014hermit,steigmiller2014konclude,kazakov2014elk,bate2016sequoia}.	https://www.cs.ox.ac.uk/publications/publication10435-abstract.html	verified
2	83	yang2024sweagent	At the same time, language-model coding agents can now inspect repositories, edit files, invoke tools, and iteratively respond to test failures \cite{yang2024sweagent,wang2024openhands}.	https://doi.org/10.52202/079017-1601; https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html	verified
2	83	wang2024openhands	At the same time, language-model coding agents can now inspect repositories, edit files, invoke tools, and iteratively respond to test failures \cite{yang2024sweagent,wang2024openhands}.	https://openreview.net/forum?id=OJd3ayDDoF; https://proceedings.iclr.cc/paper_files/paper/2025/hash/a4b6ad6b48850c0c331d1259fc66a69c-Abstract-Conference.html	verified
3	146	w3c2012direct	An OWL~2 ontology is a finite set of axioms interpreted under the OWL~2 Direct Semantics \cite{w3c2012direct,w3c2012profiles}.	https://www.w3.org/TR/owl2-direct-semantics/	verified
3	146	w3c2012profiles	An OWL~2 ontology is a finite set of axioms interpreted under the OWL~2 Direct Semantics \cite{w3c2012direct,w3c2012profiles}.	https://www.w3.org/TR/owl2-profiles/	verified
4	163	motik2009hypertableau	EL completion can classify large Horn ontologies efficiently; context-based calculi derive reusable consequences; and tableau or hypertableau search handles nondeterminism and equality through model construction and refutation \cite{motik2009hypertableau, tenacucala2018consequence}. We use TBox for terminological axioms, ABox for assertions about individuals, and RBox for role axioms.	https://doi.org/10.1613/jair.2811	verified
4	163	tenacucala2018consequence	EL completion can classify large Horn ontologies efficiently; context-based calculi derive reusable consequences; and tableau or hypertableau search handles nondeterminism and equality through model construction and refutation \cite{motik2009hypertableau, tenacucala2018consequence}. We use TBox for terminological axioms, ABox for assertions about individuals, and RBox for role axioms.	https://doi.org/10.24963/ijcai.2018/272	corrected
5	243	lord2024hornedowl	The pinned Horned-OWL 1.4 Rust data model and input framework parses OWL/XML and Resource Description Framework/XML (RDF/XML) \cite{lord2024hornedowl}; a separate RDF parser handles Turtle.	https://doi.org/10.4230/TGDK.2.2.9	verified
6	287	motik2009hypertableau	\paragraph{Structural transformation.} The clausifier follows the structural transformation used by hypertableau and consequence-based reasoners \cite{motik2009hypertableau,bate2016sequoia}. Axioms are converted to negation normal form.	https://doi.org/10.1613/jair.2811	verified
6	287	bate2016sequoia	\paragraph{Structural transformation.} The clausifier follows the structural transformation used by hypertableau and consequence-based reasoners \cite{motik2009hypertableau,bate2016sequoia}. Axioms are converted to negation normal form.	https://www.cs.ox.ac.uk/publications/publication10435-abstract.html	verified
7	347	kazakov2014elk	The EL-completion (ELC) worker implements the completion procedure of ELK \cite{kazakov2014elk} over the frontend's clauses, with concept and role names interned to dense integers and the worklist running over integer-keyed arrays.	https://doi.org/10.1007/s10817-013-9296-3	verified
8	396	bate2016sequoia	The consequence-based (CB) core is a port of the disjunctive context calculus of Sequoia \cite{bate2016sequoia}, extended with the nominal rules of the consequence-based calculus for disjunction, inverse roles, number restrictions, and nominals \cite{tenacucala2018consequence}.	https://www.cs.ox.ac.uk/publications/publication10435-abstract.html	verified
9	398	tenacucala2018consequence	The consequence-based (CB) core is a port of the disjunctive context calculus of Sequoia \cite{bate2016sequoia}, extended with the nominal rules of the consequence-based calculus for disjunction, inverse roles, number restrictions, and nominals \cite{tenacucala2018consequence}.	https://doi.org/10.24963/ijcai.2018/272	corrected
10	470	motik2009hypertableau	KM contains a Rust hypertableau (HT), a model-construction and refutation procedure, and selected completion mechanisms derived from published algorithms and behaviour studied in HermiT and Konclude \cite{motik2009hypertableau,glimm2014hermit,steigmiller2014konclude}. Blocking detects repeated states to represent a potentially infinite model finitely; dependency sets record the choices supporting a conclusion; a clash records a contradiction; and unravelling interprets a finite blocked structure as a regular model.	https://doi.org/10.1613/jair.2811	verified
10	470	glimm2014hermit	KM contains a Rust hypertableau (HT), a model-construction and refutation procedure, and selected completion mechanisms derived from published algorithms and behaviour studied in HermiT and Konclude \cite{motik2009hypertableau,glimm2014hermit,steigmiller2014konclude}. Blocking detects repeated states to represent a potentially infinite model finitely; dependency sets record the choices supporting a conclusion; a clash records a contradiction; and unravelling interprets a finite blocked structure as a regular model.	https://doi.org/10.1007/s10817-014-9305-1	verified
10	470	steigmiller2014konclude	KM contains a Rust hypertableau (HT), a model-construction and refutation procedure, and selected completion mechanisms derived from published algorithms and behaviour studied in HermiT and Konclude \cite{motik2009hypertableau,glimm2014hermit,steigmiller2014konclude}. Blocking detects repeated states to represent a potentially infinite model finitely; dependency sets record the choices supporting a conclusion; a clash records a contradiction; and unravelling interprets a finite blocked structure as a regular model.	https://doi.org/10.1016/j.websem.2014.06.003	corrected
11	490	motik2009hypertableau	\paragraph{HermiT-style hypertableau.} The hypertableau proper implements the calculus of Motik, Shearer, and Horrocks \cite{motik2009hypertableau}: a hyperresolution matcher over guarded HT clauses, dependency sets, dependency-directed backjumping, and blocking. Matching is delta-driven, so a new fact re-matches only the clauses it can trigger.	https://doi.org/10.1613/jair.2811	verified
12	506	steigmiller2014konclude	\paragraph{Ported completion bridge.} A second engine is a direct Rust port of Konclude's completion algorithm \cite{steigmiller2014konclude}: implication unfolding, the disjunction rule with same-node backtracking, existential and universal successor rules, role-chain automata, and classification through known and possible subsumer sets.	https://doi.org/10.1016/j.websem.2014.06.003	corrected
13	759	demoura2021lean4	Lean~4 is both an interactive theorem prover and an extensible functional language with a small proof-checking kernel \cite{demoura2021lean4}.	https://doi.org/10.1007/978-3-030-79876-5_37	verified
14	1012	horridge2011owlapi	The Java module implements the OWLAPI reasoner factory and lifecycle \cite{horridge2011owlapi}, including buffering and non-buffering modes, pending-change accessors, imports-closure updates, interruption, failure atomicity, and disposal.	https://doi.org/10.3233/SW-2011-0025	verified
15	1065	parsia2017ore	ORE~2015 drew naturally occurring ontologies from BioPortal, the Oxford Ontology Library, and MOWLCorp and was designed for consistency, classification, and realisation experiments \cite{parsia2017ore}.	https://doi.org/10.1007/s10817-017-9406-8	verified
16	1072	jackson2021obofoundry	Second, the executed current-biomedical evaluation uses a 30 August 2026 Open Biological and Biomedical Ontologies (OBO) Foundry freeze \cite{jackson2021obofoundry}.	https://doi.org/10.1093/database/baab069	verified
17	1081	vendetti2025bioportal	Content-identical inputs are deduplicated by original-source digest. The preregistered extension would draw a stratified sample of current public BioPortal submissions \cite{vendetti2025bioportal}.	https://doi.org/10.1093/nar/gkaf402	verified
18	1484	mashkova2026moose	Moose compiles $\mathcal{EL}^{++}$ ontologies for latent-concept learning \cite{mashkova2026moose}; Baobab extends that programme to OWL~2~DL through consequence-based compilation \cite{mashkova2026baobab}.	https://arxiv.org/abs/2608.12961	verified
19	1485	mashkova2026baobab	Moose compiles $\mathcal{EL}^{++}$ ontologies for latent-concept learning \cite{mashkova2026moose}; Baobab extends that programme to OWL~2~DL through consequence-based compilation \cite{mashkova2026baobab}.	https://arxiv.org/abs/2608.17741	verified
20	1538	kenn2026agentsview	We imported the retained workstation platform archives into AgentsView v\KMAgentsViewVersion{} \cite{kenn2026agentsview} and restricted project identity to KM's Git remote.	https://github.com/kenn-io/agentsview/releases/tag/v0.41.1	verified
21	2018	motik2009hypertableau	\paragraph{OWL reasoners.} HermiT introduced a hypertableau calculus designed to reduce nondeterminism and model size and supports broad OWL~2 reasoning services \cite{motik2009hypertableau,glimm2014hermit}.	https://doi.org/10.1613/jair.2811	verified
21	2018	glimm2014hermit	\paragraph{OWL reasoners.} HermiT introduced a hypertableau calculus designed to reduce nondeterminism and model size and supports broad OWL~2 reasoning services \cite{motik2009hypertableau,glimm2014hermit}.	https://doi.org/10.1007/s10817-014-9305-1	verified
22	2020	steigmiller2014konclude	Konclude combines tableau-style completion with extensive indexing, caching, blocking, and parallelisation \cite{steigmiller2014konclude}.	https://doi.org/10.1016/j.websem.2014.06.003	corrected
23	2021	kazakov2014elk	ELK uses consequence-based reasoning tailored to OWL~2~EL \cite{kazakov2014elk}.	https://doi.org/10.1007/s10817-013-9296-3	verified
24	2022	bate2016sequoia	Sequoia implements consequence-based reasoning for expressive description logics \cite{bate2016sequoia, tenacucala2018consequence}.	https://www.cs.ox.ac.uk/publications/publication10435-abstract.html	verified
24	2022	tenacucala2018consequence	Sequoia implements consequence-based reasoning for expressive description logics \cite{bate2016sequoia, tenacucala2018consequence}.	https://doi.org/10.24963/ijcai.2018/272	corrected
25	2029	tsarkov2006factpp	The expanded comparison includes three additional OWL reasoner families. JFact is a Java port of FaCT++'s tableau architecture \cite{tsarkov2006factpp,palmisano2018jfact}.	https://doi.org/10.1007/11814771_26	verified
