id	title_or_artifact	version_or_date	url_or_repository_path	sha256_or_identity	notes
slater2020	Towards semantic interoperability: finding and repairing hidden contradictions in biomedical ontologies	2020-12-15	https://doi.org/10.1186/s12911-020-01336-2	DOI:10.1186/s12911-020-01336-2	Primary article; reports ELK 0.5.0-SNAPSHOT and the UNMIREOT workflow
unmireot	UNMIREOT source and experimental results	2020-12-04	https://github.com/bio-ontology-research-group/UNMIREOT	e579133d34b6e579da2b673f9cd0ffe0c8427fec	Primary companion repository; exact 2018 ontology payloads must be reacquired
uberon-source	Uberon source OWL	VersionIRI 2026-06-19; retrieved 2026-08-30	http://purl.obolibrary.org/obo/uberon.owl	938f51e7c3fc9fcbe5a2863eb346da8033737e568af5836958891c4c6bfb1192	CC BY 3.0 original source; receipt stem 2026-06-23 is only a legacy job label
uberon-merged	Uberon deterministic frozen Functional Syntax	2026-08-30 paper snapshot	paper/benchmark/generated/import-receipts/uberon.tsv	13579e2a9760969bb07beaf4701d019a90c5f63556bd593685ed876c44a8aa93	389227 post-normalization axioms; OWL 2 DL; not EL with 4247 OWLAPI violations
galen-ore9724	ORE 2015 GALEN Functional Syntax snapshot	ORE 2015 frozen corpus	https://zenodo.org/records/18591	00c80e07aa57578c168d15a1755b62fde41c53dd69a2f04cc5d88c888c8baf19	Contains co-ode.org/ontologies/galen IRIs; 10532295 bytes; not the current BioPortal hard case
galen-current	Current BioPortal GALEN hard case	planned 2026-08-30 snapshot	paper/benchmark/hard-cases.tsv	NOT_ACQUIRED	BioPortal API key unavailable; no current GALEN measurement
snomed-required	SNOMED CT International Edition OWL or RF2	user-supplied licensed release	https://www.snomed.org/get-snomed	INPUT_REQUIRED	Restricted; never redistribute in paper artifacts; synthetic cases contain no SNOMED CT content
km-impact-binary	KM impact development artifact	v1.3.0-64-g301d374	paper/impact/evidence/build-receipt.tsv	c8688f6b286db2b422f1ec1df0874eadbbce0cc9e2899f35dbe143ccad70639d	Built on IBEX from source commit 301d37426cdf3dea249d9609037a2f1e47e89314
elk-impact-baseline	ELK classifier artifact	0.6.0	paper/benchmark/baselines.tsv	7ffc442f2966667a488479a748502276136445c8e44ffd9e8498873a401cb3d4	Profile-limited comparison; controlled inputs with unsupported constructs are out of profile
hermit-impact-baseline	HermiT classifier artifact	1.4.5.519	paper/benchmark/baselines.tsv	59a7dc34d874c0dd9fb752594eb8d55b611e70d3cf7e839d581d7c366a5dd99c	Independent complete-reasoner comparison for controlled examples
